turnover_id,payee_payer_name,holder_name
108a12d0-83bb-11ec-8f62-3b755a8059d0,Quo Vadis Milenkovski Gbr,Georgia Beckmann
a09c63e0-5239-11ec-ab16-3cfe43434b1b,Landeshauptkasse,Stilla Regina Rust
015609ad-91b4-4b0a-94c0-578a477326d1,Dsl Sieghard Ndl Db A G Viola Kornelia Allee,Lucia Hertrampf
1b6bc06e-c956-4314-addd-a4dfa234a31c,Bundesagentur Nadja Arbeit Service Stumpf,Agnieszka Ackermann
427d0350-6cf1-11ec-2fbc-3faae733405f,Bundeskasse Dienstort Weiden,Hinrich Schleich
108075e0-83bb-11ec-b50f-bf5f413300dd,Agnieszka Kurt Hartung,Agnieszka Hartung
564a28a0-2fa6-11ec-cf6d-e58c9c3fab84,Ilja Dietz,Konstanze Und Kazim Holt
18158d40-6c28-11ec-a284-3eee5b635520,,Pauline Karge
2ee85b60-256f-11ec-8f35-fd2250601e0f,,Nikolai Wernecke
8cae7020-8f84-11ec-425f-d8d3ea091662,Aldi Gmbh Co Kg Schloss Holte,Magret Benthin
db8eb9be-6332-4f52-8a4b-e1054ca963cd,Allbau A G,Maren Hecker
37dc28a0-8df2-11ec-5c18-c66df2c5ed43,Katarzyna Musterfrau,Till Schuchhardt
ac795140-b14e-11ec-f0a2-85ea9e1bae5d,Flatex Jungfer,Till Schuchhardt
